index,order_id,anomaly_type,expected_detection
164,cd7d5eba4ca59e359249279469aa4f7a,PAYMENT_ORDER_MISMATCH,True
383,67642a6b87ab5c8cdfffd5b81da8a501,PAYMENT_ORDER_MISMATCH,True
45,e0f57f06590a2aee981778faa5b7c80c,PAYMENT_ORDER_MISMATCH,True
156,c00ec2c5d2f145b694e4f478c71c5711,PAYMENT_ORDER_MISMATCH,True
53,5346a99f61d771b889336c4a2c14e0b9,PAYMENT_ORDER_MISMATCH,True
72,5a911c89527605e73569727488b5468d,PAYMENT_ORDER_MISMATCH,True
315,0b0bf8f9977e22517521efeefa4b7a27,PAYMENT_ORDER_MISMATCH,True
209,9c3585240de3978338d7aa8c74ddfaa1,PAYMENT_ORDER_MISMATCH,True
74,8bde999dc4ad8ff2e39ca01c02a81119,PAYMENT_ORDER_MISMATCH,True
333,ad01d61ec53a43d200f359c11347316f,PAYMENT_ORDER_MISMATCH,True
403,78d197a2bfdde2a4c64cf3e58ab2b7a3,PAYMENT_ORDER_MISMATCH,True
415,db84f5852687abdb7f384d5ea4b638c9,PAYMENT_ORDER_MISMATCH,True
92,431edc9c63424518da8f273659cafa77,PAYMENT_ORDER_MISMATCH,True
215,6653d3fc131c01e7e7fa96daf4aea451,PAYMENT_ORDER_MISMATCH,True
479,5f5d82c66499b9a72f7e8071477aee00,PAYMENT_ORDER_MISMATCH,True
59,0bcc4cc85c24f23e22013fd22f99728f,PAYMENT_ORDER_MISMATCH,True
368,36b036769c93a2e59324ac996fb51e2b,PAYMENT_ORDER_MISMATCH,True
163,fa4c59a94711decb9c0410a0e7f878bc,PAYMENT_ORDER_MISMATCH,True
210,37f4b362697f5c9826aee9c479b32bda,PAYMENT_ORDER_MISMATCH,True
251,d2b78e9e69a191c9f98ea4fec8e920ef,PAYMENT_ORDER_MISMATCH,True
443,770d331c84e5b214bd9dc70a10b829d0,SETTLEMENT_ANOMALY,True
320,31a8fcbeaa65f2a7dec1abee188ffcc9,SETTLEMENT_ANOMALY,True
289,393e5ad5d9b558b7a0fd2cfc53f7f1d9,SETTLEMENT_ANOMALY,True
389,e28f56dc0353b7bf8f78f05ac639ba21,SETTLEMENT_ANOMALY,True
7,de9330ec1dd0af0751b5c24b612917d0,SETTLEMENT_ANOMALY,True
462,a7b3d17383515918f57cc831f29bc8dd,SETTLEMENT_ANOMALY,True
249,7d4101163410b1380268da3933e691f1,SETTLEMENT_ANOMALY,True
228,ff7f5fd520c590ecb28347614bf26ae2,SETTLEMENT_ANOMALY,True
245,2efe2442effe17b5a17637c88ac2d0d8,SETTLEMENT_ANOMALY,True
211,12958a97a4e26a4e7dd8bce7de8955b9,SETTLEMENT_ANOMALY,True
129,968daeb20a9a0e6c8433cad2c886756a,SETTLEMENT_ANOMALY,True
162,f5218a2401f92542f87b1de5bc3f92ff,SETTLEMENT_ANOMALY,True
223,b41f51ebf23530b00f69e5602f81a653,SETTLEMENT_ANOMALY,True
41,6a5560b5b974183928205724063cdfa6,SETTLEMENT_ANOMALY,True
278,1e24c66f40e16d38609ed026af8b4c94,SETTLEMENT_ANOMALY,True
21,bb1af69d9c3122c683d442d8af845410,REFUND_ORDER_MISMATCH,True
434,c88935c0144ef18368420018e18f177a,REFUND_ORDER_MISMATCH,True
68,f489949dbe23cf9313deb342913ece0c,REFUND_ORDER_MISMATCH,True
227,b2b345cd2633deaf2b69c3b5c5585afa,REFUND_ORDER_MISMATCH,True
151,73840bb583b69b1d181d54f3f755a4e2,REFUND_ORDER_MISMATCH,True
369,fe00e26eb05c951aad5cbc6b7f602edb,REFUND_ORDER_MISMATCH,True
217,77f8ac5734b5b2f8c1572102f854d329,REFUND_ORDER_MISMATCH,True
154,1fab4ac9d85079b3da72a11475ae1685,REFUND_ORDER_MISMATCH,True
177,0901f97cdb91762c043d2330c81919a4,REFUND_ORDER_MISMATCH,True
397,a92a63c8deffa6b4843c8e30e10abbfc,REFUND_ORDER_MISMATCH,True
139,8048f4c2213c7ef433ffc4c00e017c14,WEBHOOK_FAILURE,True
141,55e62ea5906d028721528c19cdd49bb0,WEBHOOK_FAILURE,True
326,4ee4b8462b9a39ac1fa86e28bcc22ad3,WEBHOOK_FAILURE,True
175,0945dadba69dad599e42c31e78450de4,WEBHOOK_FAILURE,True
170,94a4d00bea6790d3c810c6b2f56b4d65,WEBHOOK_FAILURE,True
