order_id,exception_type,severity,amount_affected,reason
de9330ec1dd0af0751b5c24b612917d0,SETTLEMENT_ANOMALY,HIGH,19.38,Settlement amount is lower than the captured payment amount
bb1af69d9c3122c683d442d8af845410,REFUND_ORDER_MISMATCH,MEDIUM,131.62,Merchant order is cancelled but customer refund is still pending
6a5560b5b974183928205724063cdfa6,SETTLEMENT_ANOMALY,HIGH,41.75,Settlement amount is lower than the captured payment amount
e0f57f06590a2aee981778faa5b7c80c,PAYMENT_ORDER_MISMATCH,HIGH,425.94,Payment is captured but merchant order is still marked UNPAID
5346a99f61d771b889336c4a2c14e0b9,PAYMENT_ORDER_MISMATCH,HIGH,74.72,Payment is captured but merchant order is still marked UNPAID
0bcc4cc85c24f23e22013fd22f99728f,PAYMENT_ORDER_MISMATCH,HIGH,195.0,Payment is captured but merchant order is still marked UNPAID
f489949dbe23cf9313deb342913ece0c,REFUND_ORDER_MISMATCH,MEDIUM,1436.46,Merchant order is cancelled but customer refund is still pending
5a911c89527605e73569727488b5468d,PAYMENT_ORDER_MISMATCH,HIGH,120.22,Payment is captured but merchant order is still marked UNPAID
8bde999dc4ad8ff2e39ca01c02a81119,PAYMENT_ORDER_MISMATCH,HIGH,55.11,Payment is captured but merchant order is still marked UNPAID
431edc9c63424518da8f273659cafa77,PAYMENT_ORDER_MISMATCH,HIGH,122.92,Payment is captured but merchant order is still marked UNPAID
968daeb20a9a0e6c8433cad2c886756a,SETTLEMENT_ANOMALY,HIGH,21.34,Settlement amount is lower than the captured payment amount
8048f4c2213c7ef433ffc4c00e017c14,WEBHOOK_FAILURE,HIGH,26.35,Payment is captured but the webhook delivery failed
55e62ea5906d028721528c19cdd49bb0,WEBHOOK_FAILURE,HIGH,24.28,Payment is captured but the webhook delivery failed
73840bb583b69b1d181d54f3f755a4e2,REFUND_ORDER_MISMATCH,MEDIUM,203.08,Merchant order is cancelled but customer refund is still pending
1fab4ac9d85079b3da72a11475ae1685,REFUND_ORDER_MISMATCH,MEDIUM,243.01,Merchant order is cancelled but customer refund is still pending
c00ec2c5d2f145b694e4f478c71c5711,PAYMENT_ORDER_MISMATCH,HIGH,704.32,Payment is captured but merchant order is still marked UNPAID
f5218a2401f92542f87b1de5bc3f92ff,SETTLEMENT_ANOMALY,HIGH,16.66,Settlement amount is lower than the captured payment amount
fa4c59a94711decb9c0410a0e7f878bc,PAYMENT_ORDER_MISMATCH,HIGH,32.67,Payment is captured but merchant order is still marked UNPAID
cd7d5eba4ca59e359249279469aa4f7a,PAYMENT_ORDER_MISMATCH,HIGH,165.21,Payment is captured but merchant order is still marked UNPAID
94a4d00bea6790d3c810c6b2f56b4d65,WEBHOOK_FAILURE,HIGH,134.19,Payment is captured but the webhook delivery failed
0945dadba69dad599e42c31e78450de4,WEBHOOK_FAILURE,HIGH,1260.76,Payment is captured but the webhook delivery failed
